"","Inf_00Hr-Ctrl_00Hr_Log2FC","Inf_02Hr-Ctrl_00Hr_Log2FC","Inf_04Hr-Ctrl_00Hr_Log2FC","Inf_08Hr-Ctrl_00Hr_Log2FC","Inf_12Hr-Ctrl_00Hr_Log2FC","Inf_24Hr-Ctrl_00Hr_Log2FC"
"AKT1",-1.0584614738377,-0.470848734357271,-0.916014721383032,-1.16269523700176,-2.65335246012121,-0.221181191379139
"AKT2",-3.09660746486739,-1.10793060739512,-0.820757062737571,-1.72560191877847,-2.24762013569231,-0.476462013653488
"AKT3",-1.54742642870207,-0.831577503595524,-0.820870733972692,-1.43204818981511,-1.46247565885992,-0.0759537997710481
"ATM",-0.0628016794852832,-0.369078181722165,-0.084503378774982,-0.505568230740364,-0.611528874186816,-0.111296122986271
"ATR",-0.0203656124038098,0.324817048887076,0.390566562713458,0.218069676482361,0.221401806399464,0.503478164532179
"AURKA",-1.50832488815108,-2.18274977451354,-2.80518443630531,-2.19946139867509,-1.38482898761106,-0.384561418597895
"AURKB",-0.975956077984061,-0.195662819062223,-1.13075129143642,-0.561747814761037,-0.446291695709611,-0.369873017175153
"BRAF",NA,0.0655017662804712,-0.0409749316473166,-0.117886244893505,-0.415088166821406,-0.0295824580634638
"CAMK1",-0.116324653628384,-1.28630444092372,-0.630611780657003,-1.10427486986293,-1.40512513627435,-0.788687599986684
"CAMK2A",-0.221711646893715,-0.110867162911794,-0.13927293485721,-0.19076481774853,-0.091147651810549,0.181117960185638
"CAMK2B",-1.95593734415298,-1.23328138572826,-1.2307762846276,-0.405461591786075,-0.707737887725658,0.0403156779947661
"CAMK2G",0.0994320076287934,1.26666329093189,1.32600963236987,1.08291501920094,1.37363609330569,2.93742263945624
"CDC7",-1.80913619810568,-0.212131280934668,0.0144123678551828,0.477238763684274,-0.0875007721281494,-1.26175732357663
"CDK1",-9.98860165651838,-6.59363535421152,-2.74788027811145,-0.915164183488091,-3.51313470815177,-9.43924118380062
"CDK2",-1.08203650361458,-1.23653717732442,-0.907553616363206,-0.9768229250247,-2.11980173161928,-2.59572092983614
"CDK4",-0.205393200558957,-0.0805322026337594,-0.206829399980238,-0.644442153406067,-2.07197996580568,-1.1762281971528
"CDK5",-2.58220337497127,-1.02878921151339,-0.116197214458161,-0.616842598468793,-1.30661396595393,-1.62322152112727
"CDK6",-0.184572004175724,-0.0173022947769225,-0.173473588754376,-0.187523682445731,-1.36555979924197,-0.432684680948206
"CDK7",-0.043110808360738,-0.142818938494316,NA,NA,NA,NA
"CDK9",-0.310600806308759,-0.201641431546014,-0.370058300799969,-0.311505270530566,-0.00393561493970569,0.605014495979613
"CHEK1",0.607057459444776,-0.335873073473483,-0.533478219681333,-0.810070555721426,-0.86907237529071,-0.425659890783138
"CSNK2A1",2.69356549756603,7.33605864340342,8.64909330934318,11.9082286509487,9.07447543264045,9.33294968294419
"CSNK2A2",1.13293079875004,3.22147010482718,3.50188280235254,4.82561048044042,4.18240421500894,2.4437311274816
"DYRK1A",0.851627994732761,0.930236514032179,0.285945217765175,0.152558183599222,0.406621998850425,-0.0799820294522455
"DYRK2",0.437036309381883,1.21474161905321,1.26336176106072,1.15462549190943,0.653899234517385,0.501421339641259
"EEF2K",-1.97888377725933,NA,0.409778578145156,0.602135300703874,0.891086438724856,0.899888567679325
"EIF2AK2",0.0201824182798238,-0.369479807985382,-0.250544365362866,-0.2793021224992,-0.204418532248032,0.842088884325942
"GSK3A",-0.666975078364599,0.356518797457141,2.2504172964476,1.47991853053891,1.44226650649567,1.01049610759909
"GSK3B",0.441675527540498,0.418862460642136,0.0328817502811291,-0.299162852784225,-0.35280968593258,0.17439462123008
"ILK",-0.369426447157045,-3.15856431978231,-2.19811384313263,-1.9997253224115,-2.33477757060059,-1.67423729275479
"INSR",0.0414171310812982,0.0836617516919253,-0.0539421537608413,0.122774251247518,0.199372457953748,0.732294040751968
"JAK2",NA,-0.0649181413093351,-0.0784191277418918,-0.373766147606336,-0.332058595219805,-0.0668878253341704
"KSR1",-1.98995105314324,-0.0636380994043366,0.818199326393363,0.735321961137168,-0.311504896079853,0.427178717403295
"LATS1",0.253741733797546,-0.326991250475811,-0.934521514606399,-0.708209905314054,-0.761013021742371,-0.805236272623766
"LATS2",0.472563610889726,-0.24456059948898,-1.08316072595431,-0.525921646338696,-0.578332406367606,-1.06757593019513
"MAP2K1",-1.86476197889048,0.114466000987417,0.0530873651285388,0.0108071388925198,-0.200583571134326,0.236753698631719
"MAP2K2",NA,-0.179986536922228,-0.246610414001495,-0.373766147606336,-0.668613464369244,-0.0668878253341704
"MAP2K3",2.64819980550272,0.428560965520447,0.816238915714077,0.513511064160759,1.45725751494417,7.08958803217205
"MAP2K6",2.64819980550272,0.428560965520447,0.816238915714077,0.513511064160759,1.45725751494417,7.08958803217205
"MAP3K14",NA,-0.179986536922228,-0.246610414001495,-0.373766147606336,-0.668613464369244,-0.0668878253341704
"MAP3K8",NA,NA,-1.24184843662065,NA,NA,NA
"MAPK1",-2.6628145187083,-0.799796863818522,-0.266529711874231,-0.477915326462196,-2.14259989434955,-0.446707064077316
"MAPK10",-0.50364660746335,-0.453168638425488,-0.975366960862279,-0.828319703192783,-1.82160060021359,-0.424456833478506
"MAPK12",1.84484717686027,0.61920367124825,0.194547033319781,0.529462167251994,0.844494134751206,4.31942073718238
