"","Inf_00Hr-Ctrl_00Hr_Log2FC","Inf_02Hr-Ctrl_00Hr_Log2FC","Inf_04Hr-Ctrl_00Hr_Log2FC","Inf_08Hr-Ctrl_00Hr_Log2FC","Inf_12Hr-Ctrl_00Hr_Log2FC","Inf_24Hr-Ctrl_00Hr_Log2FC"
"MAPK13",-0.130693737710964,-0.428817954219605,-0.879995940509969,0.405612753150153,0.293682740797759,1.50501839800589
"MAPK14",-0.359779760602053,-1.7000723945013,-1.33599233812395,-2.27989770202871,-2.26097926146622,-0.00704744574737826
"MAPK3",-2.6056579031798,-0.899623198341748,-0.128127481807289,-0.54557316256713,-1.49367651983366,-0.31076271569252
"MAPK7",0.158313979693658,0.282402324120138,-0.0765383020239911,-0.429331046493365,-0.604334387928744,-0.0554487463085234
"MAPK8",-0.509603731215147,-1.15776444548642,-0.398445478865588,-1.09019187354146,-1.15407758726618,-0.0054109201562211
"MAPK9",-0.305273509307049,-1.42655932156652,-0.921588817338636,-1.62508817069647,-1.60357817642558,-0.149698255064398
"MAPKAPK2",2.07863651269368,-0.649574767417524,0.0269327297354301,-0.130816237796468,-0.442141985098614,3.07306811034186
"MAPKAPK3",2.64819980550272,0.428560965520447,0.816238915714077,0.513511064160759,1.45725751494417,7.08958803217205
"MAPKAPK5",2.64819980550272,0.428560965520447,0.816238915714077,0.513511064160759,1.45725751494417,7.08958803217205
"MARK2",-0.643010368236438,-1.79294715233058,-0.516404330072157,-0.528274673925527,-1.25274096376818,-1.29113129335245
"MELK",0.0713937782182905,0.0226696703691009,-0.0174166228439996,-0.920509826119999,-0.93953970446431,-1.00715056044864
"MTOR",0.16213574935163,-0.0286055720765203,0.0154896684704992,-0.137898493468361,-0.345035950156286,0.455984697731069
"NLK",0.411238801611389,0.0052760921053133,0.025133434874753,-0.0154633297450118,0.190421951721611,1.03375998907324
"NUAK1",-0.16333729374748,-0.304152754735069,-0.22563117133584,-0.431519386538483,-0.189740943994259,-0.112782855485517
"PAK1",-1.99360281917983,-2.93003515080803,-1.90655240371623,-1.61596154284449,-3.66149625565075,-1.52263734360306
"PAK2",-0.330054185635257,-1.22787150566587,-0.472586937759345,NA,-2.16573453625788,-0.639346282705911
"PAK4",-0.365292544248127,-0.146308124012934,-0.445707064068327,-0.334390395168971,-0.382811868876296,-0.339040073916711
"PIK3CA",-3.34137943977636,-2.6459451337224,-1.84654101081679,-0.850084906388146,-2.68975367172791,-3.06962850864424
"PIM1",-0.926028237746453,-0.427806856936476,-1.1644262872165,-2.59698814415852,-3.16740784299813,-2.13831319838217
"PIM2",-0.117082767653163,0.404697637791601,-0.0487849118101377,-0.782696430075392,-1.14661696282564,-0.992970781751927
"PLK1",-1.75911182900181,-2.92859401421082,-1.36156830930926,-0.41130099527986,-1.57455467161001,-1.06569487834729
"PRKAA1",-0.402038756725001,-1.8262109136433,-0.94719242457817,-1.33994622565783,-1.39955092308247,-0.568664960338065
"PRKAA2",-0.685770016269597,NA,NA,NA,NA,-0.0916869304189811
"PRKACA",0.0293555467546463,-1.31735847301802,-1.19716423599406,-1.32014295759791,-1.12008819651986,0.308992238263672
"PRKACG",-0.880002043668511,-0.742950347669937,-0.96675887383936,-1.56383118045732,-1.52076446419525,-0.741546552171641
"PRKCA",-0.147443498834805,-3.01393187912191,-0.937540936489501,-1.35649913354986,-2.33277253627608,-0.898021421990806
"PRKCB",-3.55748458554926,-1.13909449314609,-1.04020882158321,-0.898141301037581,-1.67137652373773,-1.33228289306908
"PRKCD",0.289495076913814,-0.162745366668296,-0.362149182021202,-0.0348707121364825,-0.112016100697126,1.28393839073917
"PRKCE",-0.760604334963619,-0.560436492557151,-0.391465488009235,-1.01633627123988,-0.792353262816192,-0.440030674751958
"PRKCG",-1.183899948612,-0.997620682804493,-1.01172403002458,-0.49213952193304,-0.710037338848906,-0.286468071999726
"PRKCI",-0.351075933199027,0.441746466309102,0.1794725297972,0.140404216223202,0.121304674989849,-0.243520225716037
"PRKCQ",NA,0.0614259031346441,-0.00292538643798417,0.00653837569926247,-0.19721360717544,-0.0295824580634638
"PRKCZ",-0.158193963702082,-1.42735164510959,-1.6206955662891,-1.5776565817195,-1.67757995189658,-0.89043605431007
"PRKD1",0.187511157715278,0.188240751855111,0.0684284093610067,0.0340551094750472,-0.0142693736510086,0.688652723062013
"PRKDC",-1.69235006880016,-2.62827438412486,-1.31426463654419,-1.29363239813646,-2.0612888114824,-1.41140159087033
"PRKG1",4.00642959887319,0.4390071948198,1.03488867434266,0.679930249834064,1.32659453325875,5.84068119181633
"PRKG2",4.07714929223294,0.702279712359475,1.02091857907574,1.07306035035301,1.61356925451775,5.09468995631164
"PTK2B",-0.754061155258425,-1.38898213953809,-1.09745007121293,-1.11899510211637,-1.33063309787799,-0.732285914421945
"RAF1",-2.2474525942646,-0.680396674233504,-0.373628302216889,-0.702626922689659,-1.02335182119918,-0.368436856569291
"RET",-1.93563194918409,0.048621208266064,-0.160111204772637,-0.244459274387768,-0.234821896128191,0.104427592886748
"ROCK1",-1.08327882648676,-1.4658985234873,-0.848644638874696,-0.983420728900803,-0.835484919643739,-0.448085203237137
"RPS6KA1",-0.625463467240648,-1.05357500516429,-1.67056111134236,-0.825241897054104,-1.82416702777481,-0.73011025662554
"RPS6KA3",-0.593447462871575,-0.584125941025887,-1.215245800193,-0.766464260297794,-0.838305857827434,0.871959312978207
"RPS6KA5",0.00791211556564655,-0.422358179328724,-0.225586855023514,-0.450617534181798,-0.212456070831329,0.177462620794674
"RPS6KB1",1.28579927176804,0.308997098250129,-0.00116777714809621,-0.826775875260943,-0.540632235087877,0.981465717708438
"RPS6KB2",1.18676328113786,0.098806934594363,0.440691690088522,0.218213411529282,0.701526141016203,3.05998958928999
"SGK1",-0.365877346730232,-1.04819297813639,-0.759270785913464,-1.2676356819858,-0.81380782523924,-0.662372302027712
"SGK3",-3.09330355746807,-2.3925542252458,-1.9548874608146,-2.11682350138881,-2.69131524646421,-1.44731201378804
"SRC",0.898011033829971,0.953178500271454,0.597613397201777,0.712206365387019,1.03685799192193,0.702836077729518
"STK3",0.19771550061771,-0.227243473284745,-0.0489750623624128,-0.39707777147575,-0.417271272419151,-0.144377097916834
"STK38",0.168286304256408,-0.733237851455618,-0.883967191052806,-0.663309744128144,-0.810756531406837,-0.617099066287357
"STK39",-0.449341332747318,-1.01351559626058,NA,-0.139646915772023,-0.175613305347919,NA
"UHMK1",-0.087632520520496,-0.0711327783826901,-0.372656353882859,0.209217856900306,-0.0372612021736228,0.153415903699722
