"","3h","6h","12h","18h","24h","30h"
"ABL1",0.0717246299848649,0.159154274825791,1.04567747081268,1.15923758472376,0.902529629393933,0.638709268405554
"AKT1",0.356544908033004,0.316188780282437,0.31435282876536,0.555319219880667,0.673969860396905,0.54967675916549
"AKT2",-0.182203604444144,-0.557507215660443,-0.121348908256228,-0.0304323398127477,0.108317188434482,0.0795853591370302
"AKT3",0.173660657445336,0.0961492050680883,0.175052158154532,0.199743629246579,0.200023886051823,0.180362120524331
"ATM",0.0626986708396816,-0.110448696271609,0.322635297704806,1.22898212336172,1.50667801321039,1.43183620244295
"ATR",-0.420462736365908,-0.031068988322008,-0.102893522151819,-0.144162238840204,-0.153542146422322,-0.159980268299527
"AURKA",0.0583225895054598,-0.00556137177693231,-0.00635340508720102,-0.0258943409432238,-0.0276363491886877,-0.0608526053681253
"AURKB",-0.0158680039466532,-0.0694509893026475,-0.0170500975617994,-0.0654727006540613,-0.0555925291716453,-0.057098878159182
"BCR",0.26220343207132,0.215126876108031,0.584975426477972,0.789295650383162,0.827412191416349,0.636886902452381
"BRAF",-0.711760557059497,-0.0221297789337783,-0.0983713496896723,-0.0159836215521039,0.0361857493339836,0.0280086089240404
"CAMK2A",0.166914602465124,0.0489392896196836,0.0228667718711451,0.450498520300375,0.512468915507726,0.62534695635082
"CAMK2B",0.195314164534614,0.143975736149366,0.191512981608433,0.192291523714115,0.214109164409532,0.231803074613328
"CAMK2G",0.136135729267456,0.0346457067601185,-0.038683556587037,-0.095791291619609,-0.102631816991684,-0.0480168235667121
"CAMK4",0.150837581246601,0.106066595748912,0.137404925177377,0.121258224847851,0.12324126543352,0.134673082863523
"CDC7",0.0355937025752826,-0.017389108633137,-0.051280482776816,-0.0782551037312161,0.0403139019728797,0.0162519243315177
"CDK1",0.371068108811201,0.126992946740516,0.319099480960147,-0.0020246898107079,-0.0207533611317221,0.150601005166237
"CDK12",-0.207108851916007,-0.118683720194736,0.0382563294348923,0.0790169273348547,0.12703618405969,0.850990973020638
"CDK16",0.0641752426090277,0.143612679428699,0.107939086538702,0.00827277287703368,-0.0333007967573844,-0.0344412155616295
"CDK2",-0.235452507125151,-0.210073858453664,-0.399964485030169,-0.623201273421638,-0.579164661065145,-0.266963881579099
"CDK3",0.0354389720880016,0.061041769408657,0.115778812377916,0.0807917935988922,0.0786070606604863,0.0232093705565953
"CDK4",0.00230705338475293,0.311956875573657,0.229630125050046,0.131652389541567,0.120961434427083,0.0897757764733
"CDK5",-0.0883023388955625,-0.214012508136558,-0.105745567003294,-0.147009575548649,-0.114079587482235,-0.103744316389085
"CDK6",0.0198722700866495,0.634766739104096,0.424357438080853,0.288358709435876,0.238100460399749,0.2177518275336
"CDK7",0.117881344001455,-0.115560322162172,-0.166254948742751,-0.250718168420041,-0.231047444225788,-0.243647614062962
"CDK9",-0.016451872919976,-0.133114644182531,-0.153919676828763,-0.282755195704986,-0.33041900955371,-0.385665325843045
"CHEK1",0.270641352148509,0.0965612878247213,0.145832565447721,0.137247890274936,0.172105850405918,0.187723190099811
"CHEK2",-0.263558698688852,-0.410458296471396,-0.0985757027428324,-0.0689670150748659,-0.0995112627540744,-0.0893822066989155
"CHUK",0.062099248848256,0.107339504511264,0.32724711622869,0.406827609828534,0.421104393156246,0.415156908352399
"CSK",0.0320972238938063,0.0034074369598396,0.0746845677956985,-0.00539910245194897,0.147878049847673,0.0497617618243803
"CSNK1A1",0.0908833422849,-0.0188856247445407,-0.0224473099759361,-0.148840710938049,-0.139264699047976,-0.139848413200654
"CSNK1E",-0.0119796345008832,-0.120407182358969,-0.133714659116566,-0.133611696898091,-2.18763257960287,-2.37027338582139
"CSNK2A1",0.0240752622143367,0.0331785097487232,-0.164126776840019,-0.280140460884442,0.0269916982469819,0.227933885030293
"CSNK2A2",0.0195713163097407,-0.0679732024656264,-0.645554553649294,-0.296212971039186,0.11618139149654,0.114277094423513
"DAPK3",0.0527376033715041,0.0986883216321919,0.150238014304481,0.202893902705708,0.443131655089804,0.373704764017607
"DYRK1A",0.0415074981500162,0.0135136518640554,0.00343918422310056,-0.0382615532348583,-0.047505311312039,-0.0571712544279122
"DYRK2",0.0736249412336015,0.0720825597056361,0.248702825560097,0.146811684093983,0.169387723907181,-0.564035656306156
"EGFR",0.0572267623670667,0.234503604993797,3.85521596286451,2.81643194919339,2.44270026441196,0.6789023709593
"EIF2AK2",0.0922617619821894,0.111862369198204,0.529559717874069,0.99985262773358,0.945657372689695,0.839335564210446
"EPHA2",0.847942626014304,0.448948500571379,0.408680417724917,0.318801927490485,0.291126818651883,0.322963980465142
